gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
356,1,1,0,α⁵,α²,0,0,α³,0
357,α⁶,α,0,α⁶,α²,0,0,α³,0
358,α⁴,α²,0,1,α²,0,0,α³,0
359,1,α⁵,0,α,α³,0,0,α³,0
360,α⁴,α,0,α²,α³,0,0,α³,0
361,α³,α³,0,α³,α³,0,0,α³,0
362,α,1,0,α⁴,α³,0,0,α³,0
363,α²,α⁴,0,α⁶,α³,0,0,α³,0
364,α³,α²,0,α,α⁴,0,0,α³,0
365,α²,1,0,α²,α⁴,0,0,α³,0
366,α,α⁴,0,α⁵,α⁴,0,0,α³,0
367,α⁴,α⁶,0,α⁶,α⁴,0,0,α³,0
368,α⁶,α³,0,1,α⁴,0,0,α³,0
369,α⁵,α,0,α,α⁵,0,0,α³,0
370,α⁶,α⁴,0,α³,α⁵,0,0,α³,0
371,α²,α²,0,α⁴,α⁵,0,0,α³,0
372,α,α³,0,α⁶,α⁵,0,0,α³,0
373,1,α⁶,0,1,α⁵,0,0,α³,0
374,α²,α⁶,0,α,α⁶,0,0,α³,0
375,α⁴,1,0,α³,α⁶,0,0,α³,0
376,α⁵,α³,0,α⁴,α⁶,0,0,α³,0
377,α⁶,α⁵,0,α⁵,α⁶,0,0,α³,0
378,1,α²,0,α⁶,α⁶,0,0,α³,0
379,α,α,0,1,α⁶,0,0,α³,0
380,α⁶,α⁶,0,α²,1,0,0,α³,0
381,1,α⁴,0,α⁴,1,0,0,α³,0
382,α³,α,0,α⁵,1,0,0,α³,0
383,α⁵,1,0,α⁶,1,0,0,α³,0
384,α²,α⁵,0,1,1,0,0,α³,0
385,1,1,0,α³,α,0,0,α⁴,0
386,α,α⁵,0,α⁵,α,0,0,α⁴,0
387,α⁶,α,0,1,α,0,0,α⁴,0
388,α⁴,α⁵,0,α,α²,0,0,α⁴,0
389,1,α,0,α²,α²,0,0,α⁴,0
390,α²,α³,0,α³,α²,0,0,α⁴,0
391,α⁶,1,0,α⁴,α²,0,0,α⁴,0
392,α⁵,α⁶,0,α⁵,α²,0,0,α⁴,0
393,α³,α⁴,0,α⁶,α²,0,0,α⁴,0
394,α⁶,α⁵,0,α³,α³,0,0,α⁴,0
395,α²,α⁶,0,α⁴,α³,0,0,α⁴,0
396,α⁴,1,0,α⁵,α³,0,0,α⁴,0
397,α,α,0,α⁶,α³,0,0,α⁴,0
398,α⁵,α²,0,α³,α⁴,0,0,α⁴,0
399,α⁴,α⁴,0,α⁴,α⁴,0,0,α⁴,0
400,α²,α,0,α⁵,α⁴,0,0,α⁴,0
401,α³,α⁵,0,1,α⁴,0,0,α⁴,0
402,1,α⁴,0,α,α⁵,0,0,α⁴,0
403,α⁴,α³,0,α²,α⁵,0,0,α⁴,0
404,α³,α,0,α³,α⁵,0,0,α⁴,0
405,α²,α⁵,0,α⁶,α⁵,0,0,α⁴,0
406,α⁵,1,0,1,α⁵,0,0,α⁴,0
407,α,1,0,α,α⁶,0,0,α⁴,0
408,α⁶,α²,0,α²,α⁶,0,0,α⁴,0
409,1,α⁵,0,α⁴,α⁶,0,0,α⁴,0
410,α³,α³,0,α⁵,α⁶,0,0,α⁴,0
411,α²,α⁴,0,1,α⁶,0,0,α⁴,0
412,α²,α²,0,α,1,0,0,α⁴,0
413,α³,1,0,α²,1,0,0,α⁴,0
414,α⁵,α,0,α⁴,1,0,0,α⁴,0
415,α⁶,α⁴,0,α⁵,1,0,0,α⁴,0
416,1,α⁶,0,α⁶,1,0,0,α⁴,0
417,α,α³,0,1,1,0,0,α⁴,0
418,α³,α³,0,α²,α,0,0,α⁵,0
419,α⁶,α²,0,α⁵,α,0,0,α⁵,0
420,1,α⁵,0,α⁶,α,0,0,α⁵,0
421,α,1,0,1,α,0,0,α⁵,0
422,1,α²,0,α,α²,0,0,α⁵,0
423,α,α,0,α⁴,α²,0,0,α⁵,0
424,α⁵,α³,0,1,α²,0,0,α⁵,0
425,α⁵,α⁶,0,α²,α³,0,0,α⁵,0
426,α,α²,0,α³,α³,0,0,α⁵,0
427,α³,α⁴,0,α⁴,α³,0,0,α⁵,0
428,1,α,0,α⁵,α³,0,0,α⁵,0
429,α⁶,1,0,α⁶,α³,0,0,α⁵,0
430,α⁴,α⁵,0,1,α³,0,0,α⁵,0
431,α,α³,0,α,α⁴,0,0,α⁵,0
432,1,α⁶,0,α⁴,α⁴,0,0,α⁵,0
433,α³,1,0,α⁵,α⁴,0,0,α⁵,0
434,α⁵,α,0,α⁶,α⁴,0,0,α⁵,0
435,α²,α²,0,1,α⁴,0,0,α⁵,0
436,α⁴,α⁶,0,α,α⁵,0,0,α⁵,0
437,α²,1,0,α³,α⁵,0,0,α⁵,0
438,α⁶,α³,0,α⁴,α⁵,0,0,α⁵,0
439,α⁵,α⁵,0,α⁵,α⁵,0,0,α⁵,0
440,α³,α²,0,α⁶,α⁵,0,0,α⁵,0
441,α⁶,α,0,α,α⁶,0,0,α⁵,0
442,α,α⁵,0,α²,α⁶,0,0,α⁵,0
443,α⁵,α⁴,0,α³,α⁶,0,0,α⁵,0
444,α⁴,α²,0,α⁴,α⁶,0,0,α⁵,0
445,α³,α⁶,0,1,α⁶,0,0,α⁵,0
446,α³,α⁵,0,α,1,0,0,α⁵,0
447,α²,α,0,α²,1,0,0,α⁵,0
448,1,α³,0,α³,1,0,0,α⁵,0
449,α,α⁶,0,α⁵,1,0,0,α⁵,0
450,α⁴,α⁴,0,α⁶,1,0,0,α⁵,0
451,α⁵,α,0,α²,α,0,0,1,0
452,α,α³,0,α³,α,0,0,1,0
453,1,α⁶,0,α⁵,α,0,0,1,0
454,α⁶,α⁴,0,α⁶,α,0,0,1,0
455,α⁵,1,0,α³,α²,0,0,1,0
456,α⁴,α³,0,α⁴,α²,0,0,1,0
457,α²,α⁵,0,α⁵,α²,0,0,1,0
458,α³,α,0,1,α²,0,0,1,0
459,α²,1,0,α,α³,0,0,1,0
460,α³,α²,0,α²,α³,0,0,1,0
461,α⁴,α⁶,0,α³,α³,0,0,1,0
462,α⁵,α⁵,0,α⁴,α³,0,0,1,0
463,α⁶,α³,0,α⁵,α³,0,0,1,0
464,α⁴,α,0,α,α⁴,0,0,1,0
465,α²,α⁴,0,α³,α⁴,0,0,1,0
466,α⁶,α²,0,α⁴,α⁴,0,0,1,0
467,α³,α³,0,α⁶,α⁴,0,0,1,0
468,α,α²,0,α,α⁵,0,0,1,0
469,α⁶,1,0,α²,α⁵,0,0,1,0
470,α³,α⁴,0,α⁵,α⁵,0,0,1,0
471,α⁵,α⁶,0,α⁶,α⁵,0,0,1,0
472,1,α³,0,α,α⁶,0,0,1,0
473,α⁴,α⁴,0,α²,α⁶,0,0,1,0
474,α³,α⁵,0,α³,α⁶,0,0,1,0
475,α,α⁶,0,α⁴,α⁶,0,0,1,0
476,α²,α,0,α⁶,α⁶,0,0,1,0
477,α⁵,α²,0,1,α⁶,0,0,1,0
478,α⁵,α⁴,0,α,1,0,0,1,0
479,α⁶,α,0,α³,1,0,0,1,0
480,α⁴,α²,0,α⁵,1,0,0,1,0
481,α,α⁵,0,α⁶,1,0,0,1,0
482,1,1,0,1,1,0,0,1,0
483,α²,α⁶,0,α³,α,0,0,0,α
484,α⁶,α⁵,0,α⁴,α,0,0,0,α
485,α⁵,α³,0,α⁵,α,0,0,0,α
486,α³,α³,0,α,α²,0,0,0,α
487,α⁴,α,0,α⁶,α²,0,0,0,α
488,α⁶,α²,0,1,α²,0,0,0,α
489,α⁶,α,0,α²,α³,0,0,0,α
490,1,1,0,α⁴,α³,0,0,0,α
491,α³,α⁶,0,α⁵,α³,0,0,0,α
492,α⁵,α⁴,0,α⁶,α³,0,0,0,α
493,α⁵,1,0,α²,α⁴,0,0,0,α
494,α³,α,0,α⁴,α⁴,0,0,0,α
495,1,α⁴,0,α⁵,α⁴,0,0,0,α
496,α⁶,α⁶,0,α⁶,α⁴,0,0,0,α
497,α⁴,α³,0,1,α⁴,0,0,0,α
498,α³,α⁵,0,α²,α⁵,0,0,0,α
