gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
490,0,1,α⁴,α²,α⁶,0,0,0,0
491,0,α⁴,α⁵,α²,α⁶,0,0,0,0
492,0,α⁷,α⁶,α²,α⁶,0,0,0,0
493,0,α⁵,α⁷,α²,α⁶,0,0,0,0
494,0,α²,1,α²,α⁶,0,0,0,0
495,0,α⁷,α²,α³,α⁶,0,0,0,0
496,0,α,α⁴,α³,α⁶,0,0,0,0
497,0,α²,α⁵,α³,α⁶,0,0,0,0
498,0,α³,α⁶,α³,α⁶,0,0,0,0
499,0,α⁴,α⁷,α³,α⁶,0,0,0,0
500,0,α⁵,1,α³,α⁶,0,0,0,0
501,0,α⁵,α,α⁴,α⁶,0,0,0,0
502,0,α,α²,α⁴,α⁶,0,0,0,0
503,0,α⁴,α³,α⁴,α⁶,0,0,0,0
504,0,α²,α⁴,α⁴,α⁶,0,0,0,0
505,0,α⁷,α⁵,α⁴,α⁶,0,0,0,0
506,0,α⁶,α⁶,α⁴,α⁶,0,0,0,0
507,0,α³,1,α⁴,α⁶,0,0,0,0
508,0,α⁵,α²,α⁵,α⁶,0,0,0,0
509,0,α⁷,α³,α⁵,α⁶,0,0,0,0
510,0,α³,α⁴,α⁵,α⁶,0,0,0,0
511,0,α⁶,α⁵,α⁵,α⁶,0,0,0,0
512,0,α⁴,α⁶,α⁵,α⁶,0,0,0,0
513,0,1,1,α⁵,α⁶,0,0,0,0
