block,pseudocolor,x,y,s,w
1,1,761.7526308,1364.790893,1.738292422,698.5526074
1,1,761.9610259,1063.464017,1.34604777,203.1856889
1,1,762.217225,1266.128154,1.2,270.4777516
1,1,762.4937479,1311.047563,1.999880123,199.4395341
1,1,762.7560815,1392.320744,1.999875464,527.5676107
1,1,762.9985296,1353.724389,1.420354283,326.8313385
1,1,763.0189201,1208.223238,1.586414999,551.9996322
1,1,763.2467261,1241.754426,1.458651496,1425.273052
1,1,764.1663505,1272.237121,1.734150684,859.8845338
1,1,764.4717149,1225.121169,1.438934929,641.4188445
1,1,764.8289176,1262.61233,1.2,293.4935916
1,1,765.1577556,1285.706888,1.823470811,3017.350518
1,1,765.3123599,1267.352667,1.997295353,1189.651333
1,1,765.423094,1374.781245,1.440424427,730.7020035
1,1,765.4901737,1235.032355,1.309211832,318.1362875
1,1,765.5266851,1250.631294,1.783532955,880.1199069
1,1,765.6003382,1203.46019,1.371300043,270.951678
1,1,766.0746234,1322.477241,1.33548974,387.1148202
1,1,766.2360846,1216.832258,1.630759558,614.8322727
1,1,766.7885122,1335.915545,1.380586948,461.0745547
1,1,766.9041173,1498.117604,1.332468851,326.8092346
1,1,767.4481065,1357.651752,1.999841372,535.201461
1,1,767.6362265,1392.954004,1.250689326,439.478029
1,1,767.750188,1386.209641,2,330.9304843
1,1,767.7884711,1258.773688,1.555387881,944.6087678
1,1,767.8862514,1421.525516,2,206.9504372
1,1,767.9162501,1303.935991,1.2,290.0416152
1,1,768.1982311,1263.942126,1.351125906,977.1278444
1,1,768.8147992,1230.132269,1.806526299,1206.045419
1,1,769.1088467,1326.895788,1.998945149,997.9691021
1,1,769.220932,1199.991303,1.580008167,202.9537818
1,1,769.9284348,1302.461825,1.999311645,680.3378833
1,1,770.2304599,984.9706336,1.306644941,290.2302109
1,1,770.4759024,1208.518734,1.246175269,230.7257698
1,1,770.6122406,1313.127978,1.423401524,736.4383445
1,1,770.6821799,1300.4884,1.999662974,429.7688845
1,1,770.6991008,1203.362762,1.577504571,1287.95858
1,1,770.7096494,1338.947824,1.697359543,780.3479084
1,1,770.7945248,1068.561827,2,251.2937746
1,1,771.2310585,1230.696088,1.2,220.6191896
1,1,771.4677993,1332.273653,1.997066851,688.6388029
1,1,771.8254562,1182.298648,1.999848692,649.1957702
1,1,771.8331671,1266.646122,1.2,506.705533
1,1,771.9940975,1054.147987,1.330046498,1076.721275
1,1,772.1018933,989.6862456,1.51498362,390.7380739
1,1,772.162014,1301.835969,1.2,305.010886
1,1,772.175001,1237.839668,1.913668093,307.0008732
1,1,772.4316649,1041.777401,1.415045171,922.4241085
1,1,772.8178391,1368.784234,1.763774547,238.2380109
1,1,773.3183516,1251.993156,1.999859388,409.4607882
1,1,773.4769001,942.2077929,1.533645785,439.9421899
1,1,773.6957887,1280.155917,1.999477398,752.8229362
1,1,773.7552418,1188.410029,1.61981726,355.5255688
1,1,773.8381097,1135.021926,1.482263274,1606.220666
1,1,773.8844106,1263.111417,1.563451737,2457.667952
1,1,774.2260585,1235.147641,1.2,250.9348869
1,1,774.5792784,1249.774675,1.396289836,422.7667528
1,1,774.6066942,1217.866668,1.924533558,307.4032708
1,1,774.8318228,1158.099552,1.506335055,1637.995197
1,1,775.0657761,1107.362333,1.930439065,222.1314668
1,1,775.1007641,1350.465163,1.669221153,1313.50808
1,1,775.1979999,1197.578626,1.531921427,738.7454791
1,1,775.2481419,1148.739999,1.450768382,743.311925
1,1,775.6415527,961.8722832,1.388768184,280.9565598
1,1,775.7441662,1276.276323,1.2,319.1409629
1,1,775.8938111,1232.454635,1.998156641,1108.148212
1,1,776.2165207,1304.506007,2,960.0727885
