gene,block1,block2,block3,block4,block5,block6,block7,block8,block9,block10
332,0,α⁵,α,α⁶,0,0,0,0,1,α⁷
333,α⁵,α³,0,α²,0,0,0,0,α³,1
334,α⁴,α,1,0,0,0,0,0,α⁵,1
335,0,α⁴,0,α³,α²,α⁴,α,0,0,0
336,α⁵,0,α⁴,0,α⁵,α⁴,α,0,0,0
337,0,0,α³,α⁴,α,α⁷,α,0,0,0
338,α²,α³,0,0,α⁷,α²,α²,0,0,0
339,α⁶,0,α⁵,0,α⁶,α⁵,α²,0,0,0
340,α³,0,0,α⁷,α⁵,α⁶,α²,0,0,0
341,0,0,α⁴,α⁵,α²,1,α²,0,0,0
342,0,0,α⁵,α⁶,α³,α,α³,0,0,0
343,α³,α⁴,0,0,1,α³,α³,0,0,0
344,α⁴,0,0,1,α⁶,α⁷,α³,0,0,0
345,0,0,α⁶,α⁷,α⁴,α²,α⁴,0,0,0
346,0,α,α³,0,α⁶,α⁶,α⁴,0,0,0
347,α⁵,0,0,α,α⁷,1,α⁴,0,0,0
348,α⁶,0,0,α²,1,α,α⁵,0,0,0
349,α⁵,α⁶,0,0,α²,α⁵,α⁵,0,0,0
350,0,α²,α⁴,0,α⁷,α⁷,α⁵,0,0,0
351,0,1,0,α⁷,α⁶,1,α⁵,0,0,0
352,α²,0,α,0,α²,α,α⁶,0,0,0
353,α⁷,0,0,α³,α,α²,α⁶,0,0,0
354,α⁶,α⁷,0,0,α³,α⁶,α⁶,0,0,0
355,0,α⁴,α⁶,0,α,α,α⁷,0,0,0
356,1,0,0,α⁴,α²,α³,α⁷,0,0,0
357,α⁴,0,α³,0,α⁴,α³,1,0,0,0
358,α,0,0,α⁵,α³,α⁴,1,0,0,0
359,0,0,α²,α³,1,α⁶,1,0,0,0
360,1,α,0,0,α⁵,1,1,0,0,0
361,0,α⁶,0,α²,1,α⁴,0,α,0,0
362,α²,0,α⁴,0,α⁷,1,0,α,0,0
363,0,α⁷,0,α³,α,α⁵,0,α²,0,0
364,0,0,α⁶,α²,α⁶,α⁶,0,α²,0,0
365,α⁵,0,0,α⁷,α⁴,α⁷,0,α²,0,0
366,0,α⁴,1,0,α⁵,α⁷,0,α²,0,0
367,α,α³,0,0,α³,1,0,α²,0,0
368,α⁴,0,α⁶,0,α,α²,0,α³,0,0
369,0,1,0,α⁴,α²,α⁶,0,α³,0,0
370,α⁶,0,0,1,α⁵,1,0,α³,0,0
371,0,α⁵,α,0,α⁶,1,0,α³,0,0
372,α⁷,0,0,α,α⁶,α,0,α⁴,0,0
373,0,α⁶,α²,0,α⁷,α,0,α⁴,0,0
374,α³,α⁵,0,0,α⁵,α²,0,α⁴,0,0
375,0,0,1,α⁴,1,1,0,α⁴,0,0
376,0,0,α,α⁵,α,α,0,α⁵,0,0
377,1,0,0,α²,α⁷,α²,0,α⁵,0,0
378,α⁴,α⁶,0,0,α⁶,α³,0,α⁵,0,0
379,0,α²,0,α⁶,α⁴,1,0,α⁵,0,0
380,0,0,α²,α⁶,α²,α²,0,α⁶,0,0
381,α,0,0,α³,1,α³,0,α⁶,0,0
382,α⁵,α⁷,0,0,α⁷,α⁴,0,α⁶,0,0
383,α⁷,0,α,0,α⁴,α⁵,0,α⁶,0,0
384,0,0,α³,α⁷,α³,α³,0,α⁷,0,0
385,α²,0,0,α⁴,α,α⁴,0,α⁷,0,0
386,0,α,α⁵,0,α²,α⁴,0,α⁷,0,0
387,α⁶,1,0,0,1,α⁵,0,α⁷,0,0
388,0,α⁵,0,α,α⁷,α³,0,1,0,0
389,0,0,α⁴,1,α⁴,α⁴,0,1,0,0
390,α⁷,α,0,0,α,α⁶,0,1,0,0
391,α,0,α³,0,α⁶,α⁷,0,1,0,0
392,α⁷,0,α⁵,0,α²,α²,0,0,α,0
393,0,0,α³,α⁶,α⁵,α⁴,0,0,α,0
394,1,α³,0,0,1,α⁴,0,0,α,0
395,0,α⁴,0,α²,α³,α⁶,0,0,α,0
396,0,1,α⁷,0,α⁶,α⁷,0,0,α,0
397,α³,0,0,1,1,α²,0,0,α²,0
398,1,0,α⁶,0,α³,α³,0,0,α²,0
399,α,α⁴,0,0,α,α⁵,0,0,α²,0
400,0,0,α⁴,α⁷,α⁶,α⁵,0,0,α²,0
401,0,α,1,0,α⁷,1,0,0,α²,0
402,α⁴,0,0,α,α,α³,0,0,α³,0
403,α,0,α⁷,0,α⁴,α⁴,0,0,α³,0
404,0,0,α⁵,1,α⁷,α⁶,0,0,α³,0
405,0,α⁶,0,α⁴,α⁵,1,0,0,α³,0
406,0,α⁷,0,α⁵,α⁶,α,0,0,α⁴,0
407,α⁵,0,0,α²,α²,α⁴,0,0,α⁴,0
408,α²,0,1,0,α⁵,α⁵,0,0,α⁴,0
409,0,1,0,α⁶,α⁷,α²,0,0,α⁵,0
410,0,α⁴,α³,0,α²,α³,0,0,α⁵,0
411,α⁶,0,0,α³,α³,α⁵,0,0,α⁵,0
412,α⁴,α⁷,0,0,α⁴,1,0,0,α⁵,0
413,0,0,1,α³,α²,α,0,0,α⁶,0
414,0,α,0,α⁷,1,α³,0,0,α⁶,0
415,0,α⁵,α⁴,0,α³,α⁴,0,0,α⁶,0
416,α⁷,0,0,α⁴,α⁴,α⁶,0,0,α⁶,0
417,0,α⁶,α⁵,0,α⁴,α⁵,0,0,α⁷,0
418,1,0,0,α⁵,α⁵,α⁷,0,0,α⁷,0
419,α⁶,0,α⁴,0,α,α,0,0,1,0
420,α⁷,α²,0,0,α⁷,α³,0,0,1,0
421,0,α⁷,α⁶,0,α⁵,α⁶,0,0,1,0
422,α,0,0,α⁶,α⁶,1,0,0,1,0
423,1,0,1,0,α⁶,α,0,0,0,α
424,α,0,0,α²,α,α⁶,0,0,0,α
425,0,0,α²,α⁷,α⁵,α⁷,0,0,0,α
426,0,α⁴,0,α⁵,α⁵,α³,0,0,0,α²
427,α²,0,0,α³,α²,α⁷,0,0,0,α²
428,0,0,α³,1,α⁶,1,0,0,0,α²
429,α²,0,α²,0,1,α³,0,0,0,α³
430,0,α⁵,0,α⁶,α⁶,α⁴,0,0,0,α³
431,α⁴,1,0,0,α⁷,α⁶,0,0,0,α³
432,α³,0,0,α⁴,α³,1,0,0,0,α³
433,0,0,α⁵,α²,1,α²,0,0,0,α⁴
434,α⁵,α,0,0,1,α⁷,0,0,0,α⁴
435,0,α⁵,α⁵,0,α⁵,α,0,0,0,α⁵
436,α⁵,0,0,α⁶,α⁵,α²,0,0,0,α⁵
437,0,0,α⁶,α³,α,α³,0,0,0,α⁵
438,α⁶,α²,0,0,α,1,0,0,0,α⁵
439,α⁷,α³,0,0,α²,α,0,0,0,α⁶
440,0,α⁶,α⁶,0,α⁶,α²,0,0,0,α⁶
441,α⁵,0,α⁵,0,α³,α⁶,0,0,0,α⁶
442,0,1,0,α,α,α⁷,0,0,0,α⁶
443,1,α⁴,0,0,α³,α²,0,0,0,α⁷
444,0,α⁷,α⁷,0,α⁷,α³,0,0,0,α⁷
445,α⁶,0,α⁶,0,α⁴,α⁷,0,0,0,α⁷
446,0,α,0,α²,α²,1,0,0,0,α⁷
447,0,α²,0,α³,α³,α,0,0,0,1
448,1,0,0,α,1,α⁵,0,0,0,1
449,0,0,α,α⁶,α⁴,α⁶,0,0,0,1
450,α⁷,0,α⁷,0,α⁵,1,0,0,0,1
