pos,cell,lvf,zvf,dr,negative_control_barcodes,gene_encoding_barcodes,est_FDR
2,13,2.5,1,0,4932,10021,0.072923515
2,23,2.5,1,0,5832,11592,0.074544349
2,28,2.5,1,0,6658,12930,0.076295839
2,29,2.5,1,0,3673,7365,0.073893079
2,31,2.5,1,0,12161,24288,0.074187907
3,1,2.5,1,0,4505,21048,0.031713162
3,2,2.5,1,0,6826,20559,0.049194877
3,3,2.5,1,0,6755,23139,0.043255004
3,5,2.5,1,0,2741,11288,0.035978878
3,8,2.5,1,0,3784,11850,0.047313858
3,9,2.5,1,0,6278,19340,0.04809727
3,11,2.5,1,0,4008,17190,0.034546768
3,13,2.5,1,0,7520,22526,0.049464013
4,3,2.5,1,0,5285,11485,0.068181975
4,5,2.5,1,0,4610,8927,0.076515774
4,6,2.5,1,0,7967,16596,0.071129045
4,8,2.5,1,0,7268,17283,0.062309085
5,2,2.5,1,0,9208,26512,0.051461022
5,7,2.5,1,0,5772,20973,0.040777571
5,11,2.5,1,0,4304,10703,0.059582994
6,1,2.5,1,0,4056,11675,0.051475034
6,6,2.5,1,0,794,2961,0.039731749
6,7,2.5,1,0,8365,20373,0.060836826
6,8,2.5,1,0,6139,14178,0.064156143
6,10,2.5,1,0,7556,16699,0.06704356
7,2,2.5,1,0,8942,20323,0.06519322
7,4,2.5,1,0,4952,15849,0.046295029
7,5,2.5,1,0,1221,5466,0.03309799
7,8,2.5,1,0,4553,10359,0.065123151
7,9,2.5,1,0,6801,17113,0.058884665
7,10,2.5,1,0,6945,14800,0.069529022
7,11,2.5,1,0,10661,26767,0.059013834
7,12,2.5,1,0,7051,19859,0.052607653
8,2,2.5,1,0,6957,15902,0.064822509
8,3,2.5,1,0,7185,21528,0.049451409
8,4,2.5,1,0,5500,17384,0.046877945
8,6,2.5,1,0,7766,18104,0.063559201
8,7,2.5,1,0,8044,21312,0.055924671
8,8,2.5,1,0,11024,24599,0.066401416
8,9,2.5,1,0,9090,20090,0.067040853
8,12,2.5,1,0,5968,16447,0.053764759
9,3,2.5,1,0,4480,13302,0.049901851
9,7,2.5,1,0,7495,23781,0.046697874
9,8,2.5,1,0,4621,17931,0.038184494
9,10,2.5,1,0,10751,23969,0.066459112
9,12,2.5,1,0,7609,21506,0.0524232
9,13,2.5,1,0,9319,29197,0.04729189
9,14,2.5,1,0,11416,28589,0.059165778
10,6,2.5,1,0,6124,22727,0.039925343
10,7,2.5,1,0,2831,12408,0.033805991
10,8,2.5,1,0,6909,16995,0.060235096
10,9,2.5,1,0,5610,16404,0.050672075
10,11,2.5,1,0,4992,16108,0.04591859
10,15,2.5,1,0,5974,17608,0.050270219
10,16,2.5,1,0,5376,11234,0.070905582
11,3,2.5,1,0,7000,13873,0.074762401
11,4,2.5,1,0,5636,11454,0.072907027
11,5,2.5,1,0,6724,14772,0.067444104
11,6,2.5,1,0,8291,24729,0.049677067
11,12,2.5,1,0,7977,32454,0.03641891
11,13,2.5,1,0,9850,21464,0.067995654
12,2,2.5,1,0,2486,11608,0.031732136
12,3,2.5,1,0,2562,12482,0.030412389
12,4,2.5,1,0,4730,13448,0.052114554
12,6,2.5,1,0,2549,12882,0.029318526
12,7,2.5,1,0,5157,18480,0.041347642
12,12,2.5,1,0,4905,17290,0.042033892
12,13,2.5,1,0,3052,10789,0.041913982
12,14,2.5,1,0,2243,9427,0.03525424
12,15,2.5,1,0,4993,20930,0.035346623
12,16,2.5,1,0,4507,34338,0.019447696
13,9,2.5,1,0,6452,25112,0.038068752
13,10,2.5,1,0,7984,13570,0.087175865
13,11,2.5,1,0,6239,20900,0.044230748
14,4,2.5,1,0,7831,20510,0.056572732
14,6,2.5,1,0,10092,31018,0.048207991
14,7,2.5,1,0,2135,4924,0.064244421
14,9,2.5,1,0,5178,11107,0.069074995
14,10,2.5,1,0,3956,9832,0.059616984
14,11,2.5,1,0,12038,25715,0.069362286
14,12,2.5,1,0,11286,27339,0.061166412
14,13,2.5,1,0,9459,42643,0.03286647
14,14,2.5,1,0,7595,18591,0.060531385
15,3,2.5,1,0,3314,8991,0.05461351
15,7,2.5,1,0,5145,9565,0.079699572
15,8,2.5,1,0,3735,7941,0.069690085
15,9,2.5,1,0,6029,12135,0.073614114
15,10,2.5,1,0,7491,12769,0.086923758
15,11,2.5,1,0,5684,13902,0.060580433
15,16,2.5,1,0,6457,11508,0.083135501
15,17,2.5,1,0,5165,12974,0.058986417
16,2,2.5,1,0,6413,15942,0.05960381
16,3,2.5,1,0,4985,15142,0.048779518
16,5,2.5,1,0,4657,12729,0.054208518
16,9,2.5,1,0,5752,13649,0.062441543
16,13,2.5,1,0,6007,14521,0.06129382
16,14,2.5,1,0,6265,18015,0.051527894
17,5,2.5,1,0,5796,14097,0.060919631
17,7,2.5,1,0,6866,19183,0.053032592
17,8,2.5,1,0,5094,16143,0.046755239
17,9,2.5,1,0,6252,19108,0.048479633
17,11,2.5,1,0,4756,25931,0.027175539
17,12,2.5,1,0,4323,14300,0.044792446
18,3,2.5,1,0,8831,23494,0.055694012
18,5,2.5,1,0,1257,3978,0.046819426
18,6,2.5,1,0,7639,16272,0.069558652
18,12,2.5,1,0,5527,16637,0.049223221
18,13,2.5,1,0,15622,35541,0.065127225
18,14,2.5,1,0,9463,21636,0.064804841
19,5,2.5,1,0,9366,28327,0.048990194
19,6,2.5,1,0,3376,14029,0.035655892
19,8,2.5,1,0,7671,22014,0.05163077
19,9,2.5,1,0,12123,36298,0.049486073
19,10,2.5,1,0,4282,12029,0.052743959
20,4,2.5,1,0,6858,13166,0.077179012
20,5,2.5,1,0,3310,9350,0.052453198
20,10,2.5,1,0,5566,15385,0.053604505
20,11,2.5,1,0,5248,10335,0.075238292
20,12,2.5,1,0,6872,20032,0.050829335
20,13,2.5,1,0,7834,18595,0.06242276
20,14,2.5,1,0,4649,12165,0.056624322
21,1,2.5,1,0,8581,29572,0.042994489
21,2,2.5,1,0,6657,25096,0.039303356
21,4,2.5,1,0,7299,20492,0.052775773
21,5,2.5,1,0,8889,24189,0.054449084
21,6,2.5,1,0,6340,16855,0.05573347
