gene,block1,block2,block3,block4,block5,block6,block7,block8,block9
322,α³,1,α,0,0,α⁵,0,0,α⁴
323,α²,α³,α³,0,0,α⁶,0,0,α⁴
324,1,α⁵,1,0,0,1,0,0,α⁴
325,α,α⁶,α,0,0,α,0,0,α⁵
326,α²,α²,α⁵,0,0,α³,0,0,α⁵
327,α⁴,α,α²,0,0,α⁶,0,0,α⁵
328,α³,α⁴,α⁴,0,0,1,0,0,α⁵
329,α⁴,α⁵,α⁵,0,0,α,0,0,α⁶
330,α²,1,α²,0,0,α²,0,0,α⁶
331,α³,α³,α⁶,0,0,α⁴,0,0,α⁶
332,α⁵,α²,α³,0,0,1,0,0,α⁶
333,α⁶,α³,α⁴,0,0,α,0,0,1
334,α⁵,α⁶,α⁶,0,0,α²,0,0,1
335,α³,α,α³,0,0,α³,0,0,1
336,α⁴,α⁴,1,0,0,α⁵,0,0,1
337,α⁴,1,1,0,0,0,α⁴,α,0
338,α,α²,α³,0,0,0,α⁵,α,0
339,1,α⁶,α⁵,0,0,0,α⁶,α,0
340,α⁵,α⁵,α²,0,0,0,1,α,0
341,α⁶,α⁶,α³,0,0,0,α,α²,0
342,α⁵,α,α,0,0,0,α⁵,α²,0
343,α²,α³,α⁴,0,0,0,α⁶,α²,0
344,α,1,α⁶,0,0,0,1,α²,0
345,α²,α,1,0,0,0,α,α³,0
346,1,1,α⁴,0,0,0,α²,α³,0
347,α⁶,α²,α²,0,0,0,α⁶,α³,0
348,α³,α⁴,α⁵,0,0,0,1,α³,0
349,α⁴,α⁵,α⁶,0,0,0,α,α⁴,0
350,α³,α²,α,0,0,0,α²,α⁴,0
351,α,α,α⁵,0,0,0,α³,α⁴,0
352,1,α³,α³,0,0,0,1,α⁴,0
353,α,α⁴,α⁴,0,0,0,α,α⁵,0
354,α⁵,α⁶,1,0,0,0,α²,α⁵,0
355,α⁴,α³,α²,0,0,0,α³,α⁵,0
356,α²,α²,α⁶,0,0,0,α⁴,α⁵,0
357,α²,α⁵,α⁵,0,0,0,α²,α⁶,0
358,α⁶,1,α,0,0,0,α³,α⁶,0
359,α⁵,α⁴,α³,0,0,0,α⁴,α⁶,0
360,α³,α³,1,0,0,0,α⁵,α⁶,0
361,α³,α⁶,α⁶,0,0,0,α³,1,0
362,1,α,α²,0,0,0,α⁴,1,0
363,α⁶,α⁵,α⁴,0,0,0,α⁵,1,0
364,α⁴,α⁴,α,0,0,0,α⁶,1,0
365,α⁵,α³,1,0,0,0,α,0,α
366,α³,α⁴,α³,0,0,0,α³,0,α
367,1,1,α,0,0,0,α⁴,0,α
368,α⁴,α⁶,α²,0,0,0,α⁶,0,α
369,α⁶,α⁴,α,0,0,0,α²,0,α²
370,α⁴,α⁵,α⁴,0,0,0,α⁴,0,α²
371,α,α,α²,0,0,0,α⁵,0,α²
372,α⁵,1,α³,0,0,0,1,0,α²
373,α⁶,α,α⁴,0,0,0,α,0,α³
374,1,α⁵,α²,0,0,0,α³,0,α³
375,α⁵,α⁶,α⁵,0,0,0,α⁵,0,α³
376,α²,α²,α³,0,0,0,α⁶,0,α³
377,1,α²,α⁵,0,0,0,α²,0,α⁴
378,α,α⁶,α³,0,0,0,α⁴,0,α⁴
379,α⁶,1,α⁶,0,0,0,α⁶,0,α⁴
380,α³,α³,α⁴,0,0,0,1,0,α⁴
381,α⁴,α⁴,α⁵,0,0,0,α,0,α⁵
382,α,α³,α⁶,0,0,0,α³,0,α⁵
383,α²,1,α⁴,0,0,0,α⁵,0,α⁵
384,1,α,1,0,0,0,1,0,α⁵
385,α,α²,α,0,0,0,α,0,α⁶
386,α⁵,α⁵,α⁶,0,0,0,α²,0,α⁶
387,α²,α⁴,1,0,0,0,α⁴,0,α⁶
388,α³,α,α⁵,0,0,0,α⁶,0,α⁶
389,α²,α³,α²,0,0,0,α²,0,1
390,α⁶,α⁶,1,0,0,0,α³,0,1
391,α³,α⁵,α,0,0,0,α⁵,0,1
392,α⁴,α²,α⁶,0,0,0,1,0,1
393,α,α⁴,α,0,0,0,0,α²,α
394,1,α²,α²,0,0,0,0,α⁴,α
395,α⁶,α⁶,α⁵,0,0,0,0,α⁵,α
396,α⁴,α⁵,1,0,0,0,0,α⁶,α
397,α²,α⁵,α²,0,0,0,0,α³,α²
398,α,α³,α³,0,0,0,0,α⁵,α²
399,1,1,α⁶,0,0,0,0,α⁶,α²
400,α⁵,α⁶,α,0,0,0,0,1,α²
401,α⁶,1,α²,0,0,0,0,α,α³
402,α³,α⁶,α³,0,0,0,0,α⁴,α³
403,α²,α⁴,α⁴,0,0,0,0,α⁶,α³
404,α,α,1,0,0,0,0,1,α³
405,α²,α²,α,0,0,0,0,α,α⁴
406,1,α,α³,0,0,0,0,α²,α⁴
407,α⁴,1,α⁴,0,0,0,0,α⁵,α⁴
408,α³,α⁵,α⁵,0,0,0,0,1,α⁴
409,α⁴,α⁶,α⁶,0,0,0,0,α,α⁵
410,α³,α³,α²,0,0,0,0,α²,α⁵
411,α,α²,α⁴,0,0,0,0,α³,α⁵
412,α⁵,α,α⁵,0,0,0,0,α⁶,α⁵
413,α⁵,1,1,0,0,0,0,α²,α⁶
414,α⁴,α⁴,α³,0,0,0,0,α³,α⁶
415,α²,α³,α⁵,0,0,0,0,α⁴,α⁶
416,α⁶,α²,α⁶,0,0,0,0,1,α⁶
417,1,α³,1,0,0,0,0,α,1
418,α⁶,α,α,0,0,0,0,α³,1
419,α⁵,α⁵,α⁴,0,0,0,0,α⁴,1
420,α³,α⁴,α⁶,0,0,0,0,α⁵,1
421,α⁴,α⁶,0,α²,α,α,0,0,0
422,1,0,α³,α⁴,α,α,0,0,0
423,0,α,α²,α⁶,α,α,0,0,0
424,α³,0,α⁵,α,α²,α,0,0,0
425,0,α⁴,α⁶,α⁵,α²,α,0,0,0
426,α,α,0,1,α²,α,0,0,0
427,0,α⁶,α⁵,α³,α³,α,0,0,0
428,α⁵,0,α²,1,α³,α,0,0,0
429,α⁵,α⁴,0,α,α⁴,α,0,0,0
430,α²,0,α,α⁵,α⁴,α,0,0,0
431,0,1,α⁴,1,α⁶,α,0,0,0
432,α²,α³,0,α³,1,α,0,0,0
433,α³,α⁴,0,α⁴,α,α²,0,0,0
434,α⁵,1,0,α³,α²,α²,0,0,0
435,α,0,α⁴,α⁵,α²,α²,0,0,0
436,0,α²,α³,1,α²,α²,0,0,0
437,α²,α²,0,α,α³,α²,0,0,0
438,α⁴,0,α⁶,α²,α³,α²,0,0,0
439,0,α⁵,1,α⁶,α³,α²,0,0,0
440,α⁶,0,α³,α,α⁴,α²,0,0,0
441,0,1,α⁶,α⁴,α⁴,α²,0,0,0
442,α⁶,α⁵,0,α²,α⁵,α²,0,0,0
443,α³,0,α²,α⁶,α⁵,α²,0,0,0
444,0,α,α⁵,α,1,α²,0,0,0
445,0,α²,α⁶,α²,α,α³,0,0,0
446,α⁴,α⁵,0,α⁵,α²,α³,0,0,0
447,0,α³,α⁴,α,α³,α³,0,0,0
448,α⁶,α,0,α⁴,α³,α³,0,0,0
449,α²,0,α⁵,α⁶,α³,α³,0,0,0
450,α³,α³,0,α²,α⁴,α³,0,0,0
451,α⁵,0,1,α³,α⁴,α³,0,0,0
452,0,α⁶,α,1,α⁴,α³,0,0,0
453,1,0,α⁴,α²,α⁵,α³,0,0,0
454,0,α,1,α⁵,α⁵,α³,0,0,0
455,1,α⁶,0,α³,α⁶,α³,0,0,0
456,α⁴,0,α³,1,α⁶,α³,0,0,0
457,0,α³,1,α³,α²,α⁴,0,0,0
458,α⁵,α⁶,0,α⁶,α³,α⁴,0,0,0
459,0,α⁴,α⁵,α²,α⁴,α⁴,0,0,0
460,1,α²,0,α⁵,α⁴,α⁴,0,0,0
461,α³,0,α⁶,1,α⁴,α⁴,0,0,0
462,0,1,α²,α,α⁵,α⁴,0,0,0
463,α⁴,α⁴,0,α³,α⁵,α⁴,0,0,0
464,α⁶,0,α,α⁴,α⁵,α⁴,0,0,0
465,α,0,α⁵,α³,α⁶,α⁴,0,0,0
466,0,α²,α,α⁶,α⁶,α⁴,0,0,0
467,α⁵,0,α⁴,α,1,α⁴,0,0,0
468,α,1,0,α⁴,1,α⁴,0,0,0
469,α⁶,0,α⁵,α²,α,α⁵,0,0,0
470,α²,α,0,α⁵,α,α⁵,0,0,0
471,0,α⁴,α,α⁴,α³,α⁵,0,0,0
472,α⁶,1,0,1,α⁴,α⁵,0,0,0
473,α⁴,0,1,α,α⁵,α⁵,0,0,0
474,0,α⁵,α⁶,α³,α⁵,α⁵,0,0,0
475,α,α³,0,α⁶,α⁵,α⁵,0,0,0
476,0,α,α³,α²,α⁶,α⁵,0,0,0
477,α⁵,α⁵,0,α⁴,α⁶,α⁵,0,0,0
478,1,0,α²,α⁵,α⁶,α⁵,0,0,0
479,α²,0,α⁶,α⁴,1,α⁵,0,0,0
480,0,α³,α²,1,1,α⁵,0,0,0
481,0,α⁴,α³,α,α,α⁶,0,0,0
482,α³,0,1,α⁵,α,α⁶,0,0,0
483,1,0,α⁶,α³,α²,α⁶,0,0,0
484,α³,α²,0,α⁶,α²,α⁶,0,0,0
485,0,α⁵,α²,α⁵,α⁴,α⁶,0,0,0
486,1,α,0,α,α⁵,α⁶,0,0,0
487,α⁵,0,α,α²,α⁶,α⁶,0,0,0
488,0,α⁶,1,α⁴,α⁶,α⁶,0,0,0
489,α²,α⁴,0,1,α⁶,α⁶,0,0,0
490,0,α²,α⁴,α³,1,α⁶,0,0,0
491,α⁶,α⁶,0,α⁵,1,α⁶,0,0,0
492,α,0,α³,α⁶,1,α⁶,0,0,0
493,0,α³,α⁵,α⁴,α,1,0,0,0
494,1,1,0,α⁶,α,1,0,0,0
495,α²,0,α⁴,1,α,1,0,0,0
496,0,α⁵,α⁴,α²,α²,1,0,0,0
