nImages,q,n,mhd,w3,w4,w5,w6,Generating Notebook
156,13,13,3,3432,85800,1899612,30311424,gen_extended_codes_cuda.jl.ipynb
168,13,14,3,4368,120120,2954952,53044992,gen_extended_codes_cuda.jl.ipynb
108,13,9,4,0,1512,13608,114912,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
120,13,10,4,0,2520,27216,287280,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
132,13,11,4,0,3960,49896,632016,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
144,13,12,4,0,5940,85536,1264032,gen_RS_q11k7_code.jl.ipynb
156,13,13,4,0,8580,138996,2347488,gen_extended_codes_cuda.jl.ipynb
168,13,14,4,0,12012,216216,4108104,gen_extended_codes_cuda.jl.ipynb
108,13,9,5,0,0,1512,8064,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
120,13,10,5,0,0,3024,20160,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
132,13,11,5,0,0,5544,44352,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
144,13,12,5,0,0,9504,88704,gen_RS_q11k7_code.jl.ipynb
156,13,13,5,0,0,15444,164736,gen_extended_codes_cuda.jl.ipynb
168,13,14,5,0,0,24024,288288,gen_extended_codes_cuda.jl.ipynb
180,16,12,2,46200,1566675,37588320,657809460,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
195,16,13,2,60060,2262975,61081020,1221646140,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
210,16,14,2,76440,3168165,95014920,2137880745,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
225,16,15,2,95550,4320225,142522380,3563134575,gen_RS_q11k7_code.jl.ipynb
240,16,16,2,117600,5760300,207305280,5701015320,gen_extended_codes_cuda.jl.ipynb
255,16,17,2,142800,7532700,293682480,8810660040,gen_extended_codes_cuda.jl.ipynb
180,16,12,3,3300,96525,2352240,41108760,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
195,16,13,3,4290,139425,3822390,76344840,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
210,16,14,3,5460,195195,5945940,133603470,gen_RS_q11k7_code.jl.ipynb -> get_shortened_cb.jl.ipynb
225,16,15,3,6825,266175,8918910,222672450,gen_RS_q11k7_code.jl.ipynb
240,16,16,3,8400,354900,12972960,356275920,gen_extended_codes_cuda.jl.ipynb
255,16,17,3,10200,464100,18378360,550608240,gen_extended_codes_cuda.jl.ipynb
