,rmse
"(20, 2)",32.534847591850216
"(21, 1)",34.884104694451864
"(21, 2)",18.388110656394698
"(22, 1)",30.292242307634435
"(22, 2)",25.252997684384333
"(23, 1)",30.136990025208075
"(23, 2)",18.648922459396232
"(24, 1)",33.85171115827835
"(24, 2)",36.48794315110693
"(25, 1)",39.87068158012238
"(25, 2)",46.986927485989845
"(26, 1)",28.709684725260065
"(26, 2)",39.8456039428297
"(27, 1)",27.542401406050814
"(27, 2)",33.089358463853934
"(28, 1)",27.127138515143546
"(28, 2)",33.97768927400412
"(29, 1)",28.913132347246602
"(29, 2)",32.73689452546469
"(30, 1)",34.32236923934516
"(30, 2)",31.055580363019683
"(31, 1)",29.036955544321092
"(31, 2)",30.572680353401733
"(32, 1)",29.815005423230673
"(32, 2)",35.16071057561325
"(33, 1)",28.921055696577607
"(34, 1)",30.805571205063796
0,48.75384080613867
1,39.73126150434178
2,54.271005163332475
3,48.626503740417455
4,44.97697529279579
5,32.1748520597723
6,38.70696093487603
7,50.67401182249558
8,41.00805839629552
9,35.21102692044706
10,33.506959327452094
11,32.3160138371528
12,40.43812830137027
13,32.60751377789245
14,18.82435553625705
15,35.93646321996723
16,29.15594561114417
17,32.44796691380044
18,41.778721504496986
19,32.99879645211426
20,26.495737231322792
21,36.02584424921796
22,25.004213323550278
23,40.952102676119466
24,30.675713938747162
25,28.21674295713451
26,22.16055961478564
27,17.45707369372931
28,22.422963689436145
29,28.39919083078927
30,20.797908404330798
31,20.115276244597617
32,25.487994093766897
33,25.42331364751371
"(1, 1)",33.42891334449938
