,Unnamed: 0.1,Unnamed: 0,pos,cell,ch,lvf,zvf,lwvf,svf,dr,n_barcodes,negative_control_barcodes,gene_encoding_barcodes,est_fp_rate,est_fdr,z
80,0,0,6.0,91.0,,5.0,1.0,2.0,0.0,0.0,426.0,167,426.0,0.0,0.0580847945335581,0
81,0,0,6.0,92.0,,5.0,1.0,2.0,0.0,0.0,228.0,58,228.0,0.0,0.0376919609028037,0
82,0,0,6.0,93.0,,5.0,1.0,2.0,0.0,0.0,80.0,26,80.0,0.0,0.0481547293603061,0
83,0,0,6.0,94.0,,5.0,1.0,2.0,0.0,0.0,561.0,111,561.0,0.0,0.0293167418565418,0
84,0,0,6.0,95.0,,5.0,1.0,2.0,0.0,0.0,8.0,0,8.0,0.0,0.0,0
85,0,0,6.0,96.0,,5.0,1.0,2.0,0.0,0.0,776.0,237,776.0,0.0,0.0452524617699943,0
86,0,0,6.0,97.0,,5.0,1.0,2.0,0.0,0.0,321.0,68,321.0,0.0,0.0313876980254092,0
87,0,0,6.0,98.0,,5.0,1.0,2.0,0.0,0.0,208.0,55,208.0,0.0,0.0391791437103082,0
88,0,0,6.0,99.0,,5.0,1.0,2.0,0.0,0.0,662.0,199,662.0,0.0,0.044540047142463,0
89,0,0,6.0,100.0,,5.0,1.0,2.0,0.0,0.0,36.0,6,36.0,0.0,0.0246947330052852,0
90,0,0,6.0,101.0,,5.0,1.0,2.0,0.0,0.0,35.0,4,35.0,0.0,0.0169335312036241,0
91,0,0,6.0,102.0,,5.0,1.0,2.0,0.0,0.0,317.0,57,317.0,0.0,0.026642267153967,0
92,0,0,6.0,103.0,,5.0,1.0,2.0,0.0,0.0,138.0,64,138.0,0.0,0.0687157787973153,0
93,0,0,6.0,104.0,,5.0,1.0,2.0,0.0,0.0,32.0,19,32.0,0.0,0.0879749863313286,0
94,0,0,6.0,105.0,,5.0,1.0,2.0,0.0,0.0,94.0,32,94.0,0.0,0.0504403057129229,0
95,0,0,6.0,106.0,,5.0,1.0,2.0,0.0,0.0,73.0,16,73.0,0.0,0.0324752653220189,0
96,0,0,6.0,107.0,,5.0,1.0,2.0,0.0,0.0,703.0,166,703.0,0.0,0.0349871323944012,0
97,0,0,6.0,110.0,,5.0,1.0,2.0,0.0,0.0,451.0,97,451.0,0.0,0.0318677042329844,0
98,0,0,6.0,111.0,,5.0,1.0,2.0,0.0,0.0,737.0,207,737.0,0.0,0.0416158187144698,0
99,0,0,6.0,112.0,,5.0,1.0,2.0,0.0,0.0,331.0,81,331.0,0.0,0.0362587318446181,0
100,0,0,6.0,113.0,,5.0,1.0,2.0,0.0,0.0,501.0,152,501.0,0.0,0.0449532864287826,0
101,0,0,6.0,114.0,,5.0,1.0,2.0,0.0,0.0,253.0,76,253.0,0.0,0.0445090839937156,0
102,0,0,6.0,115.0,,5.0,1.0,2.0,0.0,0.0,497.0,166,497.0,0.0,0.0494888411936903,0
103,0,0,6.0,116.0,,5.0,1.0,2.0,0.0,0.0,279.0,101,279.0,0.0,0.0536380222265334,0
104,0,0,6.0,117.0,,5.0,1.0,2.0,0.0,0.0,451.0,124,451.0,0.0,0.0407380961328873,0
105,0,0,6.0,118.0,,5.0,1.0,2.0,0.0,0.0,181.0,41,181.0,0.0,0.0335630072889511,0
106,0,0,6.0,119.0,,5.0,1.0,2.0,0.0,0.0,751.0,248,751.0,0.0,0.0489291114671962,0
107,0,0,6.0,121.0,,5.0,1.0,2.0,0.0,0.0,308.0,71,308.0,0.0,0.0341557021436737,0
108,0,0,6.0,123.0,,5.0,1.0,2.0,0.0,0.0,24.0,10,24.0,0.0,0.061736832513213,0
109,0,0,6.0,124.0,,5.0,1.0,2.0,0.0,0.0,42.0,15,42.0,0.0,0.0529172850113254,0
110,0,0,6.0,125.0,,5.0,1.0,2.0,0.0,0.0,372.0,115,372.0,0.0,0.0458047467033516,0
111,0,0,6.0,126.0,,5.0,1.0,2.0,0.0,0.0,255.0,65,255.0,0.0,0.0377684151845538,0
112,0,0,6.0,127.0,,5.0,1.0,2.0,0.0,0.0,385.0,105,385.0,0.0,0.0404095630995576,0
113,0,0,6.0,129.0,,5.0,1.0,2.0,0.0,0.0,842.0,269,842.0,0.0,0.0473364597037177,0
114,0,0,6.0,130.0,,5.0,1.0,2.0,0.0,0.0,145.0,38,145.0,0.0,0.0388303387945174,0
